CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000,56,Female,136912,Social Media,Awareness,6497.870068,0.043918511,0.088031412,0,2.399016528,7.396802581,19,6,9,4,688,IsConfid,ToolConfid,1
8001,69,Male,41760,Email,Retention,3898.668606,0.155725071,0.182724683,42,2.917137755,5.352548601,5,2,7,2,3459,IsConfid,ToolConfid,1
8002,46,Female,88456,PPC,Awareness,1546.429596,0.277490369,0.07642272,2,8.223619098,13.79490147,0,11,2,8,2337,IsConfid,ToolConfid,1
8003,32,Female,44085,PPC,Conversion,539.5259358,0.137611254,0.088004187,47,4.540938973,14.68836262,89,2,2,0,2463,IsConfid,ToolConfid,1
8004,60,Female,83964,PPC,Conversion,1678.043573,0.252851107,0.109940103,0,2.046847118,13.9933704,6,6,6,8,4345,IsConfid,ToolConfid,1
8005,25,Female,42925,Social Media,Awareness,9579.388247,0.153794679,0.161316127,6,2.125849719,7.752831242,95,5,8,0,3316,IsConfid,ToolConfid,1
8006,38,Female,25615,Referral,Awareness,7302.899852,0.040975386,0.06097682,42,1.753994645,10.69867161,54,14,3,6,930,IsConfid,ToolConfid,1
8007,56,Female,57083,Social Media,Conversion,5324.283667,0.052877929,0.188945925,48,2.62601478,2.987817382,96,9,3,0,2983,IsConfid,ToolConfid,1
8008,36,Female,140788,Email,Retention,9421.250951,0.023535968,0.112585011,13,5.47284282,14.28742058,73,4,8,5,460,IsConfid,ToolConfid,1
8009,40,Male,130764,Social Media,Awareness,6229.193333,0.066641275,0.16978568,22,1.135664698,4.613311984,14,8,4,8,3789,IsConfid,ToolConfid,1
8010,28,Male,88319,PPC,Retention,7283.887364,0.269148089,0.109867512,47,2.054180722,3.294720457,94,16,5,6,1987,IsConfid,ToolConfid,1
8011,28,Male,29605,SEO,Awareness,2898.253003,0.198557433,0.156678707,16,9.164109335,1.372299211,23,18,6,5,2403,IsConfid,ToolConfid,1
8012,41,Male,131093,Email,Conversion,5930.920252,0.224268511,0.019769943,13,8.88923234,8.480384141,28,16,5,4,2946,IsConfid,ToolConfid,1
8013,53,Male,64608,SEO,Awareness,1520.424719,0.190281823,0.161850372,8,8.497723392,14.25272496,81,8,1,2,2818,IsConfid,ToolConfid,1
8014,57,Male,148788,Email,Awareness,4104.383137,0.122096395,0.109552292,20,7.356534606,2.466029635,70,16,8,1,3247,IsConfid,ToolConfid,1
8015,41,Female,39192,Email,Awareness,429.0792174,0.072889729,0.095388962,44,6.953694912,2.252039383,33,0,1,1,4474,IsConfid,ToolConfid,0
